,src,dst,ts,label,idx
0,915,20541,1.0,0.0,0
1,915,20541,1.0,0.0,1
2,20541,36979,1.0,1.0,2
3,221,23672,2.0,0.0,3
4,221,23672,3.0,0.0,4
5,23672,37679,3.0,1.0,5
6,23672,37680,3.0,1.0,6
15,3651,33984,4.0,0.0,15
14,3651,33984,4.0,0.0,14
13,3651,33984,4.0,0.0,13
12,3246,3651,4.0,0.0,12
8,3651,33984,4.0,0.0,8
10,3651,33984,4.0,0.0,10
9,3651,33984,4.0,0.0,9
7,3246,3651,4.0,0.0,7
11,3651,33984,4.0,0.0,11
20,24613,37780,5.0,1.0,20
18,24613,37778,5.0,1.0,18
19,24613,37779,5.0,1.0,19
16,24612,24613,5.0,0.0,16
17,24613,32605,5.0,1.0,17
21,20542,20541,6.0,0.0,21
22,20541,36980,6.0,1.0,22
23,104,20541,6.0,0.0,23
24,915,20541,6.0,0.0,24
25,23673,23672,6.0,0.0,25
26,23672,37681,6.0,1.0,26
29,915,20541,7.0,0.0,29
33,20541,36982,7.0,1.0,33
32,20541,36981,7.0,1.0,32
31,107,20541,7.0,0.0,31
27,6780,20541,7.0,0.0,27
28,221,20541,7.0,0.0,28
30,20541,36981,7.0,1.0,30
37,17816,35263,8.0,1.0,37
36,17816,35263,8.0,1.0,36
38,17816,35263,8.0,1.0,38
34,17815,17816,8.0,0.0,34
35,17816,35263,8.0,1.0,35
40,3174,3175,9.0,0.0,40
41,3651,33984,9.0,0.0,41
39,221,3175,9.0,0.0,39
42,3175,33395,10.0,1.0,42
43,3175,32425,10.0,1.0,43
44,3176,3175,10.0,0.0,44
45,3175,32425,10.0,1.0,45
46,3177,3175,10.0,0.0,46
47,3175,33396,10.0,1.0,47
59,3651,32637,11.0,0.0,59
58,3651,33985,11.0,0.0,58
57,3175,33403,11.0,1.0,57
56,3175,33402,11.0,1.0,56
55,3175,33401,11.0,1.0,55
54,3175,33400,11.0,1.0,54
51,221,3175,11.0,0.0,51
52,3175,33399,11.0,1.0,52
50,3175,33398,11.0,1.0,50
49,3175,33397,11.0,1.0,49
48,3178,3175,11.0,0.0,48
53,2693,3175,11.0,0.0,53
64,3175,33405,12.0,1.0,64
65,3175,33406,12.0,1.0,65
62,3175,33404,12.0,1.0,62
60,2693,3175,12.0,0.0,60
61,797,3175,12.0,0.0,61
63,3179,3175,12.0,0.0,63
66,3180,3175,13.0,0.0,66
67,3181,3175,13.0,0.0,67
68,3182,3175,13.0,0.0,68
69,3175,33407,13.0,1.0,69
70,3183,3175,13.0,0.0,70
71,3175,33408,13.0,1.0,71
72,3184,3175,13.0,0.0,72
73,3175,33409,13.0,1.0,73
74,221,3175,13.0,0.0,74
78,221,3175,14.0,0.0,78
75,3185,3175,14.0,0.0,75
76,3175,33410,14.0,1.0,76
77,3186,3175,14.0,0.0,77
87,221,14588,15.0,0.0,87
86,17816,35263,15.0,1.0,86
89,221,14588,15.0,0.0,89
88,221,14588,15.0,0.0,88
85,3190,3175,15.0,0.0,85
83,3175,33411,15.0,1.0,83
84,221,3175,15.0,0.0,84
82,3189,3175,15.0,0.0,82
81,221,3175,15.0,0.0,81
80,3188,3175,15.0,0.0,80
79,3187,3175,15.0,0.0,79
100,14588,38249,16.0,0.0,100
99,20541,35007,16.0,1.0,99
98,3175,33415,16.0,1.0,98
96,3175,33414,16.0,1.0,96
95,3175,33413,16.0,1.0,95
97,3194,3175,16.0,0.0,97
93,3175,33412,16.0,1.0,93
92,3193,3175,16.0,0.0,92
91,3192,3175,16.0,0.0,91
90,3191,3175,16.0,0.0,90
94,107,3175,16.0,0.0,94
113,3177,3175,17.0,0.0,113
114,3175,33425,17.0,1.0,114
115,3175,33426,17.0,1.0,115
119,20541,35007,17.0,1.0,119
117,20541,35007,17.0,1.0,117
118,1892,20541,17.0,0.0,118
112,3175,33424,17.0,1.0,112
116,17816,35263,17.0,1.0,116
111,3175,33423,17.0,1.0,111
103,3175,33417,17.0,1.0,103
109,3175,33421,17.0,1.0,109
108,3175,33421,17.0,1.0,108
107,2693,3175,17.0,0.0,107
106,3175,33420,17.0,1.0,106
105,3175,33419,17.0,1.0,105
104,3175,33418,17.0,1.0,104
102,3175,33416,17.0,1.0,102
101,3195,3175,17.0,0.0,101
110,3175,33422,17.0,1.0,110
127,20541,35007,18.0,1.0,127
126,6009,20541,18.0,0.0,126
124,1892,20541,18.0,0.0,124
125,20541,35007,18.0,1.0,125
122,6009,20541,18.0,0.0,122
121,3175,33427,18.0,1.0,121
120,3196,3175,18.0,0.0,120
123,20541,35007,18.0,1.0,123
136,20541,35007,19.0,1.0,136
135,1892,20541,19.0,0.0,135
134,15102,15103,19.0,1.0,134
133,15102,34940,19.0,1.0,133
132,15101,15102,19.0,0.0,132
130,3197,3175,19.0,0.0,130
129,2693,3175,19.0,0.0,129
128,2693,3175,19.0,0.0,128
131,15100,15102,19.0,0.0,131
145,15103,15102,20.0,0.0,145
144,15102,15103,20.0,1.0,144
143,15102,34940,20.0,1.0,143
