,src,dst,ts,label,idx
59330,36979,20541,1.0,0.0,2
59331,23672,221,2.0,1.0,3
0,221,23672,2.0,0.0,3
3,23672,37680,3.0,1.0,6
59332,23672,221,3.0,1.0,4
2,23672,37679,3.0,1.0,5
59333,37679,23672,3.0,0.0,5
59334,37680,23672,3.0,0.0,6
1,221,23672,3.0,0.0,4
59336,33984,3651,4.0,0.0,8
59337,33984,3651,4.0,0.0,9
59338,33984,3651,4.0,0.0,10
59339,33984,3651,4.0,0.0,11
59340,3651,3246,4.0,0.0,12
59341,33984,3651,4.0,0.0,13
59342,33984,3651,4.0,0.0,14
59343,33984,3651,4.0,0.0,15
7,3651,33984,4.0,0.0,10
59335,3651,3246,4.0,0.0,7
5,3651,33984,4.0,0.0,8
6,3651,33984,4.0,0.0,9
8,3651,33984,4.0,0.0,11
4,3246,3651,4.0,0.0,7
9,3246,3651,4.0,0.0,12
10,3651,33984,4.0,0.0,13
11,3651,33984,4.0,0.0,14
12,3651,33984,4.0,0.0,15
59345,37780,24613,5.0,0.0,20
59344,37778,24613,5.0,0.0,18
15,23672,37681,6.0,1.0,26
13,20542,20541,6.0,0.0,21
59346,23672,23673,6.0,1.0,25
59347,37681,23672,6.0,0.0,26
14,104,20541,6.0,0.0,23
16,6780,20541,7.0,0.0,27
18,107,20541,7.0,0.0,31
59348,36982,20541,7.0,0.0,33
17,221,20541,7.0,0.0,28
59349,17816,17815,8.0,1.0,34
21,17816,35263,8.0,1.0,37
19,17816,35263,8.0,1.0,35
22,17816,35263,8.0,1.0,38
20,17816,35263,8.0,1.0,36
59350,3175,221,9.0,1.0,39
23,221,3175,9.0,0.0,39
24,3651,33984,9.0,0.0,41
59352,33984,3651,9.0,0.0,41
59351,3175,3174,9.0,1.0,40
59353,33395,3175,10.0,0.0,42
59355,3175,3176,10.0,1.0,44
59356,32425,3175,10.0,0.0,45
59357,3175,3177,10.0,1.0,46
59358,33396,3175,10.0,0.0,47
59354,32425,3175,10.0,0.0,43
29,3175,33396,10.0,1.0,47
28,3175,32425,10.0,1.0,45
27,3176,3175,10.0,0.0,44
26,3175,32425,10.0,1.0,43
25,3175,33395,10.0,1.0,42
34,3175,33399,11.0,1.0,52
35,3175,33400,11.0,1.0,54
36,3175,33401,11.0,1.0,55
31,3175,33397,11.0,1.0,49
30,3178,3175,11.0,0.0,48
32,3175,33398,11.0,1.0,50
33,221,3175,11.0,0.0,51
40,3651,32637,11.0,0.0,59
59360,33397,3175,11.0,0.0,49
59361,33398,3175,11.0,0.0,50
59362,3175,221,11.0,1.0,51
59363,33399,3175,11.0,0.0,52
37,3175,33402,11.0,1.0,56
59365,33400,3175,11.0,0.0,54
59366,33401,3175,11.0,0.0,55
59367,33402,3175,11.0,0.0,56
59368,33403,3175,11.0,0.0,57
59369,33985,3651,11.0,0.0,58
59370,32637,3651,11.0,0.0,59
38,3175,33403,11.0,1.0,57
39,3651,33985,11.0,0.0,58
59359,3175,3178,11.0,1.0,48
59364,3175,2693,11.0,1.0,53
59371,3175,2693,12.0,1.0,60
59375,33405,3175,12.0,0.0,64
59374,3175,3179,12.0,1.0,63
59376,33406,3175,12.0,0.0,65
59373,33404,3175,12.0,0.0,62
59372,3175,797,12.0,1.0,61
44,3175,33405,12.0,1.0,64
43,3179,3175,12.0,0.0,63
45,3175,33406,12.0,1.0,65
41,797,3175,12.0,0.0,61
42,3175,33404,12.0,1.0,62
54,221,3175,13.0,0.0,74
53,3175,33409,13.0,1.0,73
52,3184,3175,13.0,0.0,72
51,3175,33408,13.0,1.0,71
50,3183,3175,13.0,0.0,70
49,3175,33407,13.0,1.0,69
48,3182,3175,13.0,0.0,68
47,3181,3175,13.0,0.0,67
59384,3175,221,13.0,1.0,74
59383,33409,3175,13.0,0.0,73
59382,3175,3184,13.0,1.0,72
59381,3175,3183,13.0,1.0,70
59380,33407,3175,13.0,0.0,69
59379,3175,3182,13.0,1.0,68
59378,3175,3181,13.0,1.0,67
59377,3175,3180,13.0,1.0,66
46,3180,3175,13.0,0.0,66
55,3185,3175,14.0,0.0,75
56,3175,33410,14.0,1.0,76
57,3186,3175,14.0,0.0,77
58,221,3175,14.0,0.0,78
59385,3175,3185,14.0,1.0,75
59386,33410,3175,14.0,0.0,76
59387,3175,3186,14.0,1.0,77
59388,3175,221,14.0,1.0,78
67,221,14588,15.0,0.0,88
59389,3175,3187,15.0,1.0,79
59390,3175,3188,15.0,1.0,80
59391,3175,221,15.0,1.0,81
59392,3175,3189,15.0,1.0,82
59393,33411,3175,15.0,0.0,83
59394,3175,221,15.0,1.0,84
59397,14588,221,15.0,0.0,88
59395,3175,3190,15.0,1.0,85
59396,14588,221,15.0,0.0,87
59,3187,3175,15.0,0.0,79
60,221,3175,15.0,0.0,81
61,3189,3175,15.0,0.0,82
