,src,dst,ts,label,idx
22223,36979,20541,1.0,0.0,2
22225,37680,23672,3.0,0.0,6
22224,37679,23672,3.0,0.0,5
22227,37778,24613,5.0,0.0,18
22228,37780,24613,5.0,0.0,20
4,20542,20541,6.0,0.0,21
22229,37681,23672,6.0,0.0,26
22230,36982,20541,7.0,0.0,33
22233,33396,3175,10.0,0.0,47
10,3176,3175,10.0,0.0,44
22231,33395,3175,10.0,0.0,42
22238,33401,3175,11.0,0.0,55
22236,33399,3175,11.0,0.0,52
22235,33398,3175,11.0,0.0,50
22234,33397,3175,11.0,0.0,49
22237,33400,3175,11.0,0.0,54
22240,33403,3175,11.0,0.0,57
11,3178,3175,11.0,0.0,48
22241,33985,3651,11.0,0.0,58
13,3179,3175,12.0,0.0,63
22245,33406,3175,12.0,0.0,65
22244,33405,3175,12.0,0.0,64
22243,33404,3175,12.0,0.0,62
17,3183,3175,13.0,0.0,70
16,3182,3175,13.0,0.0,68
22246,33407,3175,13.0,0.0,69
22247,33409,3175,13.0,0.0,73
15,3181,3175,13.0,0.0,67
14,3180,3175,13.0,0.0,66
18,3184,3175,13.0,0.0,72
19,3185,3175,14.0,0.0,75
20,3186,3175,14.0,0.0,77
22248,33410,3175,14.0,0.0,76
23,3190,3175,15.0,0.0,85
22249,33411,3175,15.0,0.0,83
22,3189,3175,15.0,0.0,82
21,3187,3175,15.0,0.0,79
22252,33415,3175,16.0,0.0,98
22251,33414,3175,16.0,0.0,96
26,3194,3175,16.0,0.0,97
24,3191,3175,16.0,0.0,90
25,3193,3175,16.0,0.0,92
22250,33413,3175,16.0,0.0,95
22262,33424,3175,17.0,0.0,112
22261,33423,3175,17.0,0.0,111
22260,33422,3175,17.0,0.0,110
22257,33419,3175,17.0,0.0,105
22258,33420,3175,17.0,0.0,106
22256,33418,3175,17.0,0.0,104
22255,33417,3175,17.0,0.0,103
28,3195,3175,17.0,0.0,101
22259,33421,3175,17.0,0.0,108
22263,33427,3175,18.0,0.0,121
30,3196,3175,18.0,0.0,120
32,15100,15102,19.0,0.0,131
36,15103,15102,20.0,0.0,145
34,3199,3175,20.0,0.0,139
35,3200,3175,20.0,0.0,140
22282,33452,3175,21.0,0.0,175
22283,33453,3175,21.0,0.0,180
22287,33460,3175,21.0,0.0,188
22285,33455,3175,21.0,0.0,183
22286,33458,3175,21.0,0.0,186
22280,33449,3175,21.0,0.0,170
22284,33454,3175,21.0,0.0,181
22279,33448,3175,21.0,0.0,169
22281,33450,3175,21.0,0.0,171
22277,33446,3175,21.0,0.0,167
22265,33429,3175,21.0,0.0,150
22266,33430,3175,21.0,0.0,151
37,3202,3175,21.0,0.0,146
22268,33436,3175,21.0,0.0,157
22278,33447,3175,21.0,0.0,168
22269,33437,3175,21.0,0.0,158
22267,33433,3175,21.0,0.0,154
22271,33439,3175,21.0,0.0,160
22273,33441,3175,21.0,0.0,162
