,src,dst,ts,label,idx,edge_label
0,915,20541,1.0,0.0,0,1.0
1,915,20541,2.0,0.0,1,1.0
2,20541,36979,3.0,1.0,2,1.0
3,221,23672,4.0,0.0,3,1.0
4,221,23672,5.0,0.0,4,1.0
5,23672,37679,6.0,1.0,5,1.0
6,23672,37680,7.0,1.0,6,1.0
7,3246,3651,8.0,0.0,7,0.0
8,3651,33984,9.0,0.0,8,0.0
9,3651,33984,10.0,0.0,9,0.0
10,3651,33984,11.0,0.0,10,0.0
11,3651,33984,12.0,0.0,11,0.0
12,3246,3651,13.0,0.0,12,0.0
13,3651,33984,14.0,0.0,13,0.0
14,3651,33984,15.0,0.0,14,0.0
15,3651,33984,16.0,0.0,15,0.0
16,24612,24613,17.0,0.0,16,1.0
17,24613,32605,18.0,1.0,17,1.0
18,24613,37778,19.0,1.0,18,1.0
19,24613,37779,20.0,1.0,19,1.0
20,24613,37780,21.0,1.0,20,1.0
21,23673,23672,22.0,0.0,21,1.0
22,20542,20541,23.0,0.0,22,1.0
23,20541,36980,24.0,1.0,23,1.0
24,23672,37681,25.0,1.0,24,1.0
25,104,20541,26.0,0.0,25,1.0
26,915,20541,27.0,0.0,26,1.0
27,6780,20541,28.0,0.0,27,1.0
28,221,20541,29.0,0.0,28,1.0
29,915,20541,30.0,0.0,29,1.0
30,20541,36981,31.0,1.0,30,1.0
31,107,20541,32.0,0.0,31,1.0
32,20541,36981,33.0,1.0,32,1.0
33,20541,36982,34.0,1.0,33,1.0
34,17815,17816,35.0,0.0,34,1.0
35,17816,35263,36.0,1.0,35,1.0
36,17816,35263,37.0,1.0,36,1.0
37,17816,35263,38.0,1.0,37,1.0
38,17816,35263,39.0,1.0,38,1.0
39,3651,33984,40.0,0.0,39,0.0
40,221,3175,41.0,0.0,40,1.0
41,3174,3175,42.0,0.0,41,1.0
42,3175,33395,43.0,1.0,42,1.0
43,3175,32425,44.0,1.0,43,1.0
44,3176,3175,45.0,0.0,44,1.0
45,3175,32425,46.0,1.0,45,1.0
46,3177,3175,47.0,0.0,46,1.0
47,3175,33396,48.0,1.0,47,1.0
48,3178,3175,49.0,0.0,48,1.0
49,3175,33397,50.0,1.0,49,1.0
50,3651,33985,51.0,0.0,50,0.0
51,3175,33398,52.0,1.0,51,1.0
52,3651,32637,53.0,0.0,52,0.0
53,221,3175,54.0,0.0,53,1.0
54,3175,33399,55.0,1.0,54,1.0
55,2693,3175,56.0,0.0,55,1.0
56,3175,33400,57.0,1.0,56,1.0
57,3175,33401,58.0,1.0,57,1.0
58,3175,33402,59.0,1.0,58,1.0
59,3175,33403,60.0,1.0,59,1.0
60,2693,3175,61.0,0.0,60,1.0
61,797,3175,62.0,0.0,61,1.0
62,3175,33404,63.0,1.0,62,1.0
63,3179,3175,64.0,0.0,63,1.0
64,3175,33405,65.0,1.0,64,1.0
65,3175,33406,66.0,1.0,65,1.0
66,3180,3175,67.0,0.0,66,1.0
67,3181,3175,68.0,0.0,67,1.0
68,3182,3175,69.0,0.0,68,1.0
69,3175,33407,70.0,1.0,69,1.0
70,3183,3175,71.0,0.0,70,1.0
71,3175,33408,72.0,1.0,71,1.0
72,3184,3175,73.0,0.0,72,1.0
73,3175,33409,74.0,1.0,73,1.0
74,221,3175,75.0,0.0,74,1.0
75,3185,3175,76.0,0.0,75,1.0
76,3175,33410,77.0,1.0,76,1.0
77,3186,3175,78.0,0.0,77,1.0
78,221,3175,79.0,0.0,78,1.0
79,3187,3175,80.0,0.0,79,1.0
80,17816,35263,81.0,1.0,80,1.0
81,3188,3175,82.0,0.0,81,1.0
82,221,3175,83.0,0.0,82,1.0
83,3189,3175,84.0,0.0,83,1.0
84,3175,33411,85.0,1.0,84,1.0
85,221,14588,86.0,0.0,85,0.0
86,221,14588,87.0,0.0,86,0.0
87,221,14588,88.0,0.0,87,0.0
88,221,3175,89.0,0.0,88,1.0
89,3190,3175,90.0,0.0,89,1.0
90,14588,38249,91.0,0.0,90,0.0
91,3191,3175,92.0,0.0,91,1.0
92,3192,3175,93.0,0.0,92,1.0
93,3193,3175,94.0,0.0,93,1.0
94,20541,35007,95.0,1.0,94,1.0
