,src,dst,ts,label,idx,edge_label
22087,36979,20541,3.0,0.0,2,1
22088,37680,23672,7.0,0.0,6,1
3,24612,24613,17.0,0.0,16,1
22091,37778,24613,19.0,0.0,18,1
5,23673,23672,22.0,0.0,21,1
6,20542,20541,23.0,0.0,22,1
22093,36980,20541,24.0,0.0,23,1
22094,37681,23672,25.0,0.0,24,1
22095,36982,20541,34.0,0.0,33,1
22097,33395,3175,43.0,0.0,42,1
10,3176,3175,45.0,0.0,44,1
22099,33396,3175,48.0,0.0,47,1
12,3178,3175,49.0,0.0,48,1
22100,33397,3175,50.0,0.0,49,1
22101,33398,3175,52.0,0.0,51,1
22103,33400,3175,57.0,0.0,56,1
22104,33401,3175,58.0,0.0,57,1
22106,33403,3175,60.0,0.0,59,1
15,3179,3175,64.0,0.0,63,1
22107,33405,3175,65.0,0.0,64,1
16,3180,3175,67.0,0.0,66,1
17,3181,3175,68.0,0.0,67,1
18,3182,3175,69.0,0.0,68,1
22108,33407,3175,70.0,0.0,69,1
19,3183,3175,71.0,0.0,70,1
20,3184,3175,73.0,0.0,72,1
22109,33409,3175,74.0,0.0,73,1
21,3185,3175,76.0,0.0,75,1
22110,33410,3175,77.0,0.0,76,1
22,3186,3175,78.0,0.0,77,1
23,3187,3175,80.0,0.0,79,1
25,3189,3175,84.0,0.0,83,1
22111,33411,3175,85.0,0.0,84,1
27,3191,3175,92.0,0.0,91,1
28,3193,3175,94.0,0.0,93,1
22113,33412,3175,96.0,0.0,95,1
22114,33413,3175,98.0,0.0,97,1
22115,33414,3175,99.0,0.0,98,1
29,3194,3175,100.0,0.0,99,1
22116,33415,3175,101.0,0.0,100,1
22117,33416,3175,104.0,0.0,103,1
22118,33417,3175,105.0,0.0,104,1
22119,33419,3175,107.0,0.0,106,1
22120,33420,3175,108.0,0.0,107,1
22121,33421,3175,111.0,0.0,110,1
22122,33423,3175,113.0,0.0,112,1
22123,33424,3175,114.0,0.0,113,1
11,3177,3175,115.0,0.0,114,1
22124,33425,3175,116.0,0.0,115,1
22125,33426,3175,117.0,0.0,116,1
31,3196,3175,121.0,0.0,120,1
22126,33427,3175,122.0,0.0,121,1
33,15100,15102,130.0,0.0,129,1
35,3197,3175,136.0,0.0,135,1
37,3199,3175,140.0,0.0,139,1
22128,33428,3175,142.0,0.0,141,1
38,15103,15102,145.0,0.0,144,1
39,3201,3175,146.0,0.0,145,1
22129,33429,3175,151.0,0.0,150,1
22130,33430,3175,152.0,0.0,151,1
22131,33431,3175,153.0,0.0,152,1
22132,33432,3175,154.0,0.0,153,1
22133,33433,3175,155.0,0.0,154,1
22134,33434,3175,156.0,0.0,155,1
22135,33435,3175,157.0,0.0,156,1
22136,33437,3175,159.0,0.0,158,1
22138,33442,3175,164.0,0.0,163,1
22139,33444,3175,166.0,0.0,165,1
22140,33445,3175,167.0,0.0,166,1
22141,33446,3175,168.0,0.0,167,1
22142,33447,3175,169.0,0.0,168,1
22143,33448,3175,173.0,0.0,172,1
22145,33451,3175,174.0,0.0,173,1
22144,33450,3175,180.0,0.0,179,1
22147,33454,3175,182.0,0.0,181,1
22146,33452,3175,183.0,0.0,182,1
22148,33455,3175,184.0,0.0,183,1
22149,33456,3175,185.0,0.0,184,1
22150,33457,3175,186.0,0.0,185,1
22151,33458,3175,187.0,0.0,186,1
