,src,dst,ts,label,idx
0,18943,36451,1.0,0.0,0
551,8170,12431,1.0,0.0,551
552,8170,37210,1.0,0.0,552
553,8170,27010,1.0,0.0,553
554,8170,27010,1.0,0.0,554
555,8170,27010,1.0,0.0,555
556,8170,24171,1.0,0.0,556
557,8170,30667,1.0,0.0,557
558,8170,37210,1.0,0.0,558
559,8170,27646,1.0,0.0,559
560,8170,35803,1.0,0.0,560
550,8170,27404,1.0,0.0,550
561,8170,9569,1.0,0.0,561
563,8170,41396,1.0,0.0,563
564,8170,41396,1.0,0.0,564
565,8170,41741,1.0,0.0,565
566,8170,41741,1.0,0.0,566
567,8170,15273,1.0,0.0,567
568,8170,15273,1.0,0.0,568
569,8170,6753,1.0,0.0,569
570,8170,39338,1.0,0.0,570
571,8170,39338,1.0,0.0,571
572,8170,22356,1.0,0.0,572
562,8170,41396,1.0,0.0,562
573,8170,41741,1.0,0.0,573
549,8170,10109,1.0,0.0,549
547,8170,9131,1.0,0.0,547
525,8170,27010,1.0,0.0,525
526,8170,14997,1.0,0.0,526
527,8170,9131,1.0,0.0,527
528,8170,9131,1.0,0.0,528
529,8170,9131,1.0,0.0,529
530,8170,27010,1.0,0.0,530
531,8170,42366,1.0,0.0,531
532,8170,13688,1.0,0.0,532
533,8170,4358,1.0,0.0,533
534,8170,13688,1.0,0.0,534
548,8170,28682,1.0,0.0,548
535,8170,13688,1.0,0.0,535
537,8170,13688,1.0,0.0,537
538,8170,32585,1.0,0.0,538
539,8170,32585,1.0,0.0,539
540,8170,1509,1.0,0.0,540
541,8170,21890,1.0,0.0,541
542,8170,27646,1.0,0.0,542
543,8170,27646,1.0,0.0,543
544,8170,27646,1.0,0.0,544
545,8170,24020,1.0,0.0,545
546,8170,13688,1.0,0.0,546
536,8170,9131,1.0,0.0,536
524,8170,34416,1.0,0.0,524
574,8170,41741,1.0,0.0,574
576,8170,27344,1.0,0.0,576
603,8170,12378,1.0,0.0,603
604,8170,31932,1.0,0.0,604
605,8170,16950,1.0,0.0,605
606,8170,16950,1.0,0.0,606
607,8170,16950,1.0,0.0,607
608,8170,16950,1.0,0.0,608
609,8170,12405,1.0,0.0,609
610,8170,12405,1.0,0.0,610
611,8170,12405,1.0,0.0,611
612,8170,21167,1.0,0.0,612
602,8170,12378,1.0,0.0,602
613,8170,12405,1.0,0.0,613
615,8170,29522,1.0,0.0,615
616,8170,41556,1.0,0.0,616
617,8170,25702,1.0,0.0,617
618,8170,33177,1.0,0.0,618
619,8170,8561,1.0,0.0,619
620,8170,9743,1.0,0.0,620
621,8170,9743,1.0,0.0,621
622,8170,34057,1.0,0.0,622
623,8170,7273,1.0,0.0,623
624,8170,13561,1.0,0.0,624
614,8170,10370,1.0,0.0,614
575,8170,39338,1.0,0.0,575
601,8170,12378,1.0,0.0,601
599,8170,31932,1.0,0.0,599
577,8170,14663,1.0,0.0,577
578,8170,14663,1.0,0.0,578
579,8170,14663,1.0,0.0,579
580,8170,14663,1.0,0.0,580
581,8170,39338,1.0,0.0,581
582,8170,28540,1.0,0.0,582
583,8170,30543,1.0,0.0,583
584,8170,19600,1.0,0.0,584
585,8170,7378,1.0,0.0,585
586,8170,30713,1.0,0.0,586
600,8170,23798,1.0,0.0,600
587,8170,40405,1.0,0.0,587
589,8170,15273,1.0,0.0,589
590,8170,31932,1.0,0.0,590
591,8170,31932,1.0,0.0,591
592,8170,12378,1.0,0.0,592
593,8170,7674,1.0,0.0,593
594,8170,5514,1.0,0.0,594
595,8170,32850,1.0,0.0,595
596,8170,41505,1.0,0.0,596
597,8170,1759,1.0,0.0,597
598,8170,1257,1.0,0.0,598
588,8170,15273,1.0,0.0,588
523,8170,10804,1.0,0.0,523
522,8170,3522,1.0,0.0,522
521,8170,3522,1.0,0.0,521
446,18943,8397,1.0,0.0,446
447,18943,5146,1.0,0.0,447
448,18943,40397,1.0,0.0,448
449,18943,8654,1.0,0.0,449
450,21568,29276,1.0,0.0,450
451,18943,17865,1.0,0.0,451
452,5146,20856,1.0,0.0,452
453,18943,9116,1.0,0.0,453
454,18943,38578,1.0,0.0,454
455,5442,11534,1.0,0.0,455
445,18943,8397,1.0,0.0,445
456,5442,11534,1.0,0.0,456
458,22274,18448,1.0,0.0,458
459,21792,24618,1.0,0.0,459
460,18943,35644,1.0,0.0,460
461,3706,36529,1.0,0.0,461
462,3706,36529,1.0,0.0,462
463,3706,36529,1.0,0.0,463
464,3706,36529,1.0,0.0,464
465,3706,36529,1.0,0.0,465
466,3706,36529,1.0,0.0,466
467,3706,36529,1.0,0.0,467
457,31087,21792,1.0,0.0,457
468,3706,36529,1.0,0.0,468
444,18943,12304,1.0,0.0,444
442,18943,12304,1.0,0.0,442
420,40923,20306,1.0,0.0,420
421,40923,20306,1.0,0.0,421
422,40923,20306,1.0,0.0,422
423,40923,20306,1.0,0.0,423
424,40923,20306,1.0,0.0,424
425,18943,6305,1.0,0.0,425
426,40834,22779,1.0,0.0,426
427,14825,36069,1.0,0.0,427
428,18943,10951,1.0,0.0,428
429,31646,37395,1.0,0.0,429
443,18943,12304,1.0,0.0,443
430,18943,14801,1.0,0.0,430
432,36198,67,1.0,0.0,432
433,18943,25871,1.0,0.0,433
434,18943,25871,1.0,0.0,434
435,18943,25871,1.0,0.0,435
436,18943,25871,1.0,0.0,436
437,18943,25871,1.0,0.0,437
438,18943,25871,1.0,0.0,438
439,18943,25871,1.0,0.0,439
440,18943,25871,1.0,0.0,440
441,3048,36154,1.0,0.0,441
431,18943,10908,1.0,0.0,431
469,3706,36529,1.0,0.0,469
470,3706,36529,1.0,0.0,470
471,3706,36529,1.0,0.0,471
499,8170,4358,1.0,0.0,499
500,8170,4358,1.0,0.0,500
501,8170,15553,1.0,0.0,501
502,8170,7889,1.0,0.0,502
503,8170,4358,1.0,0.0,503
504,8170,7889,1.0,0.0,504
505,8170,7889,1.0,0.0,505
506,8170,37896,1.0,0.0,506
507,8170,3867,1.0,0.0,507
508,8170,7889,1.0,0.0,508
498,8170,17626,1.0,0.0,498
509,8170,10804,1.0,0.0,509
511,8170,20599,1.0,0.0,511
512,8170,23301,1.0,0.0,512
513,8170,36850,1.0,0.0,513
514,8170,8211,1.0,0.0,514
515,8170,15528,1.0,0.0,515
516,8170,23080,1.0,0.0,516
517,8170,23080,1.0,0.0,517
518,8170,29394,1.0,0.0,518
519,8170,29394,1.0,0.0,519
520,8170,42373,1.0,0.0,520
510,8170,3522,1.0,0.0,510
497,8170,15327,1.0,0.0,497
496,8170,38063,1.0,0.0,496
495,8170,38063,1.0,0.0,495
472,3706,36529,1.0,0.0,472
473,3706,36529,1.0,0.0,473
474,5442,174,1.0,0.0,474
475,8170,18431,1.0,0.0,475
476,8170,39500,1.0,0.0,476
477,8170,18431,1.0,0.0,477
478,8170,18431,1.0,0.0,478
479,8170,16896,1.0,0.0,479
480,8170,297,1.0,0.0,480
481,8170,22282,1.0,0.0,481
482,8170,27576,1.0,0.0,482
483,8170,27576,1.0,0.0,483
484,8170,26087,1.0,0.0,484
485,8170,26087,1.0,0.0,485
486,8170,10516,1.0,0.0,486
487,8170,27576,1.0,0.0,487
488,8170,26087,1.0,0.0,488
489,8170,29070,1.0,0.0,489
490,8170,28411,1.0,0.0,490
491,8170,2446,1.0,0.0,491
492,8170,38063,1.0,0.0,492
493,8170,39374,1.0,0.0,493
494,8170,14695,1.0,0.0,494
625,8170,13561,1.0,0.0,625
419,40923,20306,1.0,0.0,419
626,8170,13561,1.0,0.0,626
628,8170,9743,1.0,0.0,628
761,18943,27682,1.0,0.0,761
762,18943,5431,1.0,0.0,762
763,18943,20801,1.0,0.0,763
764,20391,28901,1.0,0.0,764
765,20391,28901,1.0,0.0,765
766,20391,28901,1.0,0.0,766
767,18943,8954,1.0,0.0,767
768,18943,41367,1.0,0.0,768
769,18943,15745,1.0,0.0,769
770,18943,28071,1.0,0.0,770
760,18943,27682,1.0,0.0,760
771,18943,20210,1.0,0.0,771
773,18943,14814,1.0,0.0,773
774,18943,39762,1.0,0.0,774
775,36198,13508,1.0,0.0,775
776,18943,24590,1.0,0.0,776
777,18943,21818,1.0,0.0,777
778,18943,10644,1.0,0.0,778
779,7055,41033,1.0,0.0,779
780,7055,41033,1.0,0.0,780
781,7055,41033,1.0,0.0,781
782,7055,41033,1.0,0.0,782
772,18943,26347,1.0,0.0,772
783,7055,41033,1.0,0.0,783
759,18943,38471,1.0,0.0,759
757,18943,33764,1.0,0.0,757
735,18943,31938,1.0,0.0,735
736,18943,23540,1.0,0.0,736
737,18943,23540,1.0,0.0,737
738,781,37323,1.0,0.0,738
739,781,37323,1.0,0.0,739
740,18943,22727,1.0,0.0,740
741,35008,14940,1.0,0.0,741
742,35008,14940,1.0,0.0,742
743,3607,2200,1.0,0.0,743
744,18943,4093,1.0,0.0,744
758,18943,38471,1.0,0.0,758
745,18943,4093,1.0,0.0,745
747,18943,37143,1.0,0.0,747
748,18943,39861,1.0,0.0,748
749,36355,15735,1.0,0.0,749
750,18943,35088,1.0,0.0,750
751,37786,28525,1.0,0.0,751
752,18943,13453,1.0,0.0,752
753,18943,6290,1.0,0.0,753
754,18943,15519,1.0,0.0,754
755,18943,19062,1.0,0.0,755
756,18943,32401,1.0,0.0,756
746,18943,41851,1.0,0.0,746
734,17531,20856,1.0,0.0,734
784,18943,1942,1.0,0.0,784
786,18943,30857,1.0,0.0,786
813,18943,7874,1.0,0.0,813
814,18943,14038,1.0,0.0,814
815,18943,7767,1.0,0.0,815
816,18943,7874,1.0,0.0,816
817,18943,10481,1.0,0.0,817
818,18943,33453,1.0,0.0,818
819,18943,22800,1.0,0.0,819
820,18943,22855,1.0,0.0,820
821,18943,14783,1.0,0.0,821
822,18943,14783,1.0,0.0,822
812,18943,20490,1.0,0.0,812
823,18943,19088,1.0,0.0,823
825,18943,3290,1.0,0.0,825
826,18943,41076,1.0,0.0,826
827,18943,19339,1.0,0.0,827
828,18943,41076,1.0,0.0,828
829,23169,29276,1.0,0.0,829
830,23169,29276,1.0,0.0,830
831,23169,29276,1.0,0.0,831
832,18943,22225,1.0,0.0,832
833,18943,22225,1.0,0.0,833
834,18943,37039,1.0,0.0,834
824,18943,9747,1.0,0.0,824
785,18943,31238,1.0,0.0,785
811,18943,38858,1.0,0.0,811
809,18943,5188,1.0,0.0,809
787,18943,11758,1.0,0.0,787
788,18943,10779,1.0,0.0,788
789,18943,29345,1.0,0.0,789
790,18943,28195,1.0,0.0,790
791,18943,4753,1.0,0.0,791
792,18943,40058,1.0,0.0,792
793,18943,28714,1.0,0.0,793
794,18943,28714,1.0,0.0,794
795,18943,21010,1.0,0.0,795
796,18943,21010,1.0,0.0,796
810,18943,14115,1.0,0.0,810
797,18943,21010,1.0,0.0,797
799,18943,25378,1.0,0.0,799
800,18943,28714,1.0,0.0,800
801,18943,27936,1.0,0.0,801
802,18943,34112,1.0,0.0,802
803,18943,19010,1.0,0.0,803
804,18943,5188,1.0,0.0,804
805,18943,5188,1.0,0.0,805
806,18943,31235,1.0,0.0,806
807,18943,400,1.0,0.0,807
808,18943,24820,1.0,0.0,808
798,18943,25378,1.0,0.0,798
733,18943,23597,1.0,0.0,733
732,18943,25814,1.0,0.0,732
731,18943,28602,1.0,0.0,731
656,8170,24017,1.0,0.0,656
657,8170,25179,1.0,0.0,657
658,3048,15750,1.0,0.0,658
659,3048,15750,1.0,0.0,659
660,3048,15750,1.0,0.0,660
661,3048,15750,1.0,0.0,661
662,3048,15750,1.0,0.0,662
663,3048,15750,1.0,0.0,663
664,3048,15750,1.0,0.0,664
665,3048,15750,1.0,0.0,665
655,8170,25179,1.0,0.0,655
666,3048,15750,1.0,0.0,666
668,3048,15750,1.0,0.0,668
669,3048,15750,1.0,0.0,669
670,3048,15750,1.0,0.0,670
671,3048,15750,1.0,0.0,671
672,18943,11285,1.0,0.0,672
673,5442,7857,1.0,0.0,673
674,18943,20369,1.0,0.0,674
675,18943,40306,1.0,0.0,675
676,18943,28220,1.0,0.0,676
677,18943,15947,1.0,0.0,677
667,3048,15750,1.0,0.0,667
678,18943,35213,1.0,0.0,678
654,8170,25179,1.0,0.0,654
652,8170,39461,1.0,0.0,652
629,8170,9743,1.0,0.0,629
630,8170,8134,1.0,0.0,630
631,8170,16458,1.0,0.0,631
632,8170,33177,1.0,0.0,632
633,8170,29831,1.0,0.0,633
634,8170,29831,1.0,0.0,634
635,8170,29831,1.0,0.0,635
636,8170,29831,1.0,0.0,636
637,8170,33177,1.0,0.0,637
638,8170,33177,1.0,0.0,638
653,8170,25179,1.0,0.0,653
639,8170,25702,1.0,0.0,639
642,8170,40690,1.0,0.0,642
643,8170,40690,1.0,0.0,643
644,8170,40690,1.0,0.0,644
645,8170,40690,1.0,0.0,645
646,8170,2675,1.0,0.0,646
647,8170,32036,1.0,0.0,647
648,8170,9890,1.0,0.0,648
649,8170,39461,1.0,0.0,649
650,8170,39461,1.0,0.0,650
651,8170,39461,1.0,0.0,651
640,8170,25702,1.0,0.0,640
679,14581,22779,1.0,0.0,679
680,13702,9101,1.0,0.0,680
681,13702,9101,1.0,0.0,681
709,40231,22779,1.0,0.0,709
710,18943,30327,1.0,0.0,710
711,18943,11283,1.0,0.0,711
712,10906,22779,1.0,0.0,712
713,10906,22779,1.0,0.0,713
714,10906,22779,1.0,0.0,714
715,18943,6962,1.0,0.0,715
716,18943,1932,1.0,0.0,716
717,18943,1932,1.0,0.0,717
718,18943,7848,1.0,0.0,718
708,40231,22779,1.0,0.0,708
719,18943,38650,1.0,0.0,719
721,5442,23144,1.0,0.0,721
722,5442,9580,1.0,0.0,722
723,5442,9580,1.0,0.0,723
724,18943,34961,1.0,0.0,724
725,25871,781,1.0,1.0,725
726,25871,781,1.0,1.0,726
727,18943,36891,1.0,0.0,727
728,8514,18232,1.0,0.0,728
729,18943,34082,1.0,0.0,729
730,18943,28602,1.0,0.0,730
720,18943,26118,1.0,0.0,720
707,18943,5574,1.0,0.0,707
706,18943,8262,1.0,0.0,706
705,20116,2200,1.0,0.0,705
682,13702,9101,1.0,0.0,682
683,13702,9101,1.0,0.0,683
684,18943,6196,1.0,0.0,684
685,18943,23033,1.0,0.0,685
686,18943,16104,1.0,0.0,686
687,18943,40158,1.0,0.0,687
688,18943,36566,1.0,0.0,688
689,18943,39151,1.0,0.0,689
690,18943,39681,1.0,0.0,690
691,18943,10989,1.0,0.0,691
692,18943,6746,1.0,0.0,692
693,20116,2200,1.0,0.0,693
694,20116,2200,1.0,0.0,694
695,20116,2200,1.0,0.0,695
696,20116,2200,1.0,0.0,696
697,20116,2200,1.0,0.0,697
698,20116,2200,1.0,0.0,698
699,20116,2200,1.0,0.0,699
700,20116,2200,1.0,0.0,700
701,20116,2200,1.0,0.0,701
702,20116,2200,1.0,0.0,702
703,20116,2200,1.0,0.0,703
704,20116,2200,1.0,0.0,704
627,8170,13561,1.0,0.0,627
418,40923,20306,1.0,0.0,418
641,8170,25702,1.0,0.0,641
416,8768,22271,1.0,0.0,416
132,18943,18563,1.0,0.0,132
133,8170,22772,1.0,0.0,133
134,8170,4230,1.0,0.0,134
135,8170,4230,1.0,0.0,135
136,18943,16991,1.0,0.0,136
137,8170,22584,1.0,0.0,137
138,8170,16334,1.0,0.0,138
139,8170,22584,1.0,0.0,139
140,18943,19832,1.0,0.0,140
141,8170,17515,1.0,0.0,141
131,18943,8147,1.0,0.0,131
142,28926,15555,1.0,0.0,142
144,18943,25902,1.0,0.0,144
145,18943,13487,1.0,0.0,145
146,8170,35418,1.0,0.0,146
147,8170,35418,1.0,0.0,147
148,5682,15735,1.0,0.0,148
149,18943,2948,1.0,0.0,149
150,29489,41832,1.0,0.0,150
151,29489,41832,1.0,0.0,151
152,2200,19785,1.0,0.0,152
153,2200,19785,1.0,0.0,153
143,28926,15555,1.0,0.0,143
154,8161,30727,1.0,0.0,154
130,5901,39433,1.0,0.0,130
128,5901,39433,1.0,0.0,128
106,8170,36183,1.0,0.0,106
107,8170,36183,1.0,0.0,107
108,3048,31644,1.0,0.0,108
109,3048,31644,1.0,0.0,109
110,3048,31644,1.0,0.0,110
111,7055,33195,1.0,0.0,111
112,7055,33195,1.0,0.0,112
113,8170,36546,1.0,0.0,113
114,18943,24840,1.0,0.0,114
115,18943,24840,1.0,0.0,115
129,5901,39433,1.0,0.0,129
116,8170,18654,1.0,0.0,116
118,18943,13347,1.0,0.0,118
119,18943,18008,1.0,0.0,119
120,18943,26773,1.0,0.0,120
121,8170,25510,1.0,0.0,121
122,8170,33798,1.0,0.0,122
123,8170,28338,1.0,0.0,123
124,8170,28338,1.0,0.0,124
125,18943,31657,1.0,0.0,125
126,18943,8119,1.0,0.0,126
127,18943,16457,1.0,0.0,127
117,8768,29960,1.0,0.0,117
105,18943,1087,1.0,0.0,105
155,18943,20930,1.0,0.0,155
157,2441,21792,1.0,0.0,157
184,33,115,1.0,0.0,184
185,13403,115,1.0,0.0,185
186,13403,115,1.0,0.0,186
187,31523,115,1.0,0.0,187
188,31523,115,1.0,0.0,188
189,31523,115,1.0,0.0,189
190,31523,115,1.0,0.0,190
191,13403,115,1.0,0.0,191
192,22885,115,1.0,0.0,192
193,22885,115,1.0,0.0,193
183,33,115,1.0,0.0,183
194,31523,115,1.0,0.0,194
196,22885,115,1.0,0.0,196
197,22885,115,1.0,0.0,197
198,31523,115,1.0,0.0,198
199,37613,115,1.0,0.0,199
200,37613,115,1.0,0.0,200
201,37613,115,1.0,0.0,201
202,37613,115,1.0,0.0,202
203,21792,9249,1.0,0.0,203
204,8170,31696,1.0,0.0,204
205,3854,40966,1.0,0.0,205
195,13403,115,1.0,0.0,195
156,2441,21792,1.0,0.0,156
182,920,115,1.0,0.0,182
180,2846,115,1.0,0.0,180
158,2441,21792,1.0,0.0,158
159,18943,10736,1.0,0.0,159
160,18943,10736,1.0,0.0,160
161,18943,38080,1.0,0.0,161
162,18943,22043,1.0,0.0,162
163,18943,33608,1.0,0.0,163
164,18943,8399,1.0,0.0,164
165,8161,9076,1.0,0.0,165
166,8161,9076,1.0,0.0,166
167,18943,33317,1.0,0.0,167
181,23767,115,1.0,0.0,181
168,5980,115,1.0,0.0,168
170,5980,115,1.0,0.0,170
171,5980,115,1.0,0.0,171
172,920,115,1.0,0.0,172
173,23767,115,1.0,0.0,173
174,23767,115,1.0,0.0,174
175,23767,115,1.0,0.0,175
176,920,115,1.0,0.0,176
177,920,115,1.0,0.0,177
178,920,115,1.0,0.0,178
179,2846,115,1.0,0.0,179
169,5980,115,1.0,0.0,169
104,3048,34846,1.0,0.0,104
103,3048,34846,1.0,0.0,103
102,3048,34846,1.0,0.0,102
26,8170,29946,1.0,0.0,26
27,8170,29946,1.0,0.0,27
28,8170,29946,1.0,0.0,28
29,8170,29946,1.0,0.0,29
30,8170,15513,1.0,0.0,30
31,8170,15513,1.0,0.0,31
32,8170,36649,1.0,0.0,32
33,8170,8929,1.0,0.0,33
34,8170,16516,1.0,0.0,34
35,8170,9792,1.0,0.0,35
25,8170,34363,1.0,0.0,25
36,8170,16516,1.0,0.0,36
38,8170,17096,1.0,0.0,38
39,8170,32980,1.0,0.0,39
40,8170,32980,1.0,0.0,40
41,8170,32980,1.0,0.0,41
42,8170,25507,1.0,0.0,42
43,8170,25507,1.0,0.0,43
44,8170,25507,1.0,0.0,44
45,8170,25507,1.0,0.0,45
46,8170,2710,1.0,0.0,46
47,8170,16516,1.0,0.0,47
37,8170,17096,1.0,0.0,37
48,8170,16516,1.0,0.0,48
24,8170,691,1.0,0.0,24
22,8170,11248,1.0,0.0,22
417,8768,22271,1.0,0.0,417
1,29489,14460,1.0,0.0,1
2,18943,3604,1.0,0.0,2
3,18943,4630,1.0,0.0,3
4,18943,3969,1.0,0.0,4
5,8170,28458,1.0,0.0,5
6,8170,28458,1.0,0.0,6
7,8170,2967,1.0,0.0,7
8,8170,32470,1.0,0.0,8
9,8170,32470,1.0,0.0,9
23,8170,2465,1.0,0.0,23
10,8170,2967,1.0,0.0,10
12,8170,28620,1.0,0.0,12
13,8170,28620,1.0,0.0,13
14,8170,2967,1.0,0.0,14
15,8170,2967,1.0,0.0,15
16,8170,40368,1.0,0.0,16
17,35772,13117,1.0,0.0,17
18,8170,39469,1.0,0.0,18
19,8170,28357,1.0,0.0,19
20,8170,17096,1.0,0.0,20
21,8170,17096,1.0,0.0,21
11,8170,35772,1.0,0.0,11
49,8170,32980,1.0,0.0,49
50,8170,1168,1.0,0.0,50
51,8768,26259,1.0,0.0,51
79,8170,1892,1.0,0.0,79
80,8170,1892,1.0,0.0,80
81,8170,1892,1.0,0.0,81
82,8170,36468,1.0,0.0,82
83,8170,27444,1.0,0.0,83
84,8170,27444,1.0,0.0,84
85,8170,13443,1.0,0.0,85
86,8170,14059,1.0,0.0,86
87,40923,1220,1.0,0.0,87
88,40923,1220,1.0,0.0,88
78,8170,1892,1.0,0.0,78
89,18943,6449,1.0,0.0,89
91,18943,6449,1.0,0.0,91
92,32692,40530,1.0,0.0,92
93,3706,28192,1.0,0.0,93
94,3706,28192,1.0,0.0,94
95,3706,28192,1.0,0.0,95
96,18943,16960,1.0,0.0,96
97,18943,33811,1.0,0.0,97
99,18943,26640,1.0,0.0,99
100,8170,40922,1.0,0.0,100
101,3048,34846,1.0,0.0,101
90,18943,6449,1.0,0.0,90
77,8170,42355,1.0,0.0,77
76,8170,30723,1.0,0.0,76
75,8170,42266,1.0,0.0,75
52,11801,8170,1.0,0.0,52
53,10336,8170,1.0,0.0,53
54,22821,8170,1.0,0.0,54
55,20877,8170,1.0,0.0,55
56,34833,8170,1.0,0.0,56
57,35390,8170,1.0,0.0,57
58,41315,8170,1.0,0.0,58
59,2177,8170,1.0,0.0,59
60,35110,8170,1.0,0.0,60
61,28328,8170,1.0,0.0,61
62,2177,8170,1.0,0.0,62
63,8542,8170,1.0,0.0,63
64,5459,8170,1.0,0.0,64
65,14872,8170,1.0,0.0,65
66,34211,8170,1.0,0.0,66
67,27786,8170,1.0,0.0,67
68,8170,5641,1.0,0.0,68
69,8170,5641,1.0,0.0,69
70,8170,5641,1.0,0.0,70
71,8170,5641,1.0,0.0,71
72,8170,42266,1.0,0.0,72
73,8170,42266,1.0,0.0,73
74,8170,42266,1.0,0.0,74
206,5442,8247,1.0,0.0,206
207,18943,20483,1.0,0.0,207
