,src,dst,ts,label,idx
21057,29831,8170,1.0,0.0,633
21059,32036,8170,1.0,0.0,647
20913,30831,18943,1.0,0.0,214
21060,9890,8170,1.0,0.0,648
21061,39461,8170,1.0,0.0,649
21062,24017,8170,1.0,0.0,656
21063,15750,3048,1.0,0.0,658
21064,11285,18943,1.0,0.0,672
21065,7857,5442,1.0,0.0,673
21066,28220,18943,1.0,0.0,676
21067,15947,18943,1.0,0.0,677
21068,6196,18943,1.0,0.0,684
21069,23033,18943,1.0,0.0,685
21070,16104,18943,1.0,0.0,686
21071,40158,18943,1.0,0.0,687
21072,39681,18943,1.0,0.0,690
21073,6746,18943,1.0,0.0,692
21074,5574,18943,1.0,0.0,707
21075,30327,18943,1.0,0.0,710
21076,6962,18943,1.0,0.0,715
21077,1932,18943,1.0,0.0,716
21078,7848,18943,1.0,0.0,718
21079,38650,18943,1.0,0.0,719
21080,26118,18943,1.0,0.0,720
21058,2675,8170,1.0,0.0,646
20914,8549,18943,1.0,0.0,215
21056,8134,8170,1.0,0.0,630
20915,6170,18943,1.0,0.0,260
21032,41396,8170,1.0,0.0,562
21033,41741,8170,1.0,0.0,565
21034,39338,8170,1.0,0.0,570
21035,22356,8170,1.0,0.0,572
21036,27344,8170,1.0,0.0,576
21037,14663,8170,1.0,0.0,577
21038,30713,8170,1.0,0.0,586
21039,40405,8170,1.0,0.0,587
21040,31932,8170,1.0,0.0,590
21041,12378,8170,1.0,0.0,592
21042,5514,8170,1.0,0.0,594
21081,34961,18943,1.0,0.0,724
21043,41505,8170,1.0,0.0,596
21045,23798,8170,1.0,0.0,600
21046,12405,8170,1.0,0.0,609
21047,21167,8170,1.0,0.0,612
21048,10370,8170,1.0,0.0,614
21049,41556,8170,1.0,0.0,616
21050,25702,8170,1.0,0.0,617
21051,8561,8170,1.0,0.0,619
21052,9743,8170,1.0,0.0,620
21053,34057,8170,1.0,0.0,622
21054,7273,8170,1.0,0.0,623
21055,13561,8170,1.0,0.0,624
21044,1257,8170,1.0,0.0,598
21082,36891,18943,1.0,0.0,727
21083,18232,8514,1.0,0.0,728
21084,34082,18943,1.0,0.0,729
21112,31238,18943,1.0,0.0,785
21113,30857,18943,1.0,0.0,786
21114,10779,18943,1.0,0.0,788
21115,29345,18943,1.0,0.0,789
21116,4753,18943,1.0,0.0,791
21117,40058,18943,1.0,0.0,792
21118,28714,18943,1.0,0.0,793
21119,21010,18943,1.0,0.0,795
21120,34112,18943,1.0,0.0,802
21121,19010,18943,1.0,0.0,803
21122,31235,18943,1.0,0.0,806
21111,1942,18943,1.0,0.0,784
20910,13658,18943,1.0,0.0,208
21124,38858,18943,1.0,0.0,811
21125,7874,18943,1.0,0.0,813
21126,7767,18943,1.0,0.0,815
21127,10481,18943,1.0,0.0,817
21128,33453,18943,1.0,0.0,818
21129,22800,18943,1.0,0.0,819
21130,14783,18943,1.0,0.0,821
21131,9747,18943,1.0,0.0,824
21132,22225,18943,1.0,0.0,832
21133,37039,18943,1.0,0.0,834
20909,20483,18943,1.0,0.0,207
21123,14115,18943,1.0,0.0,810
21031,35803,8170,1.0,0.0,560
21110,41033,7055,1.0,0.0,779
21108,21818,18943,1.0,0.0,777
21085,28602,18943,1.0,0.0,730
21086,25814,18943,1.0,0.0,732
21087,23597,18943,1.0,0.0,733
21088,23540,18943,1.0,0.0,736
21089,22727,18943,1.0,0.0,740
21090,14940,35008,1.0,0.0,741
21091,37143,18943,1.0,0.0,747
21092,39861,18943,1.0,0.0,748
21093,35088,18943,1.0,0.0,750
20912,24790,18943,1.0,0.0,212
21095,32401,18943,1.0,0.0,756
21109,10644,18943,1.0,0.0,778
21096,33764,18943,1.0,0.0,757
21098,5431,18943,1.0,0.0,762
21099,41367,18943,1.0,0.0,768
21100,15745,18943,1.0,0.0,769
21101,28071,18943,1.0,0.0,770
21102,20210,18943,1.0,0.0,771
21103,26347,18943,1.0,0.0,772
21104,14814,18943,1.0,0.0,773
21105,39762,18943,1.0,0.0,774
21106,13508,36198,1.0,0.0,775
20911,11849,8768,1.0,0.0,210
21107,24590,18943,1.0,0.0,776
21097,27682,18943,1.0,0.0,760
20918,12930,5442,1.0,0.0,270
21030,30667,8170,1.0,0.0,557
21028,37210,8170,1.0,0.0,552
20948,23671,8170,1.0,0.0,346
20949,39488,3854,1.0,0.0,347
20950,9107,18943,1.0,0.0,348
20951,10732,36198,1.0,0.0,349
20952,17572,3048,1.0,0.0,350
20953,21578,18943,1.0,0.0,353
